Benh,TrieuChung_1,TrieuChung_2,TrieuChung_3,TrieuChung_4,TrieuChung_5,TrieuChung_6,TrieuChung_7,TrieuChung_8
Viêm vòi trứng mạn,kéo dài,đau bụng dưới,ra khí hư,nhạy cảm ánh sáng,sốt,rối loạn kinh nguyệt,mệt mỏi,
Nhiễm trùng niệu quản,tiểu rắt,hôi miệng,tiểu ra máu,ớn lạnh,sốt,tiểu buốt,tiểu nhiều lần,
Trào ngược dạ dày,đau ngực,ợ nóng,ho khan,ợ chua,khó nuốt,,,
Trầm cảm,mệt mỏi,chán ăn,mất ngủ,mất hứng thú,buồn bã kéo dài,,,
Viêm tai giữa mạn,đau họng,kéo dài,mệt mỏi,nghẹt mũi,,,,
Đau nửa đầu,nôn,buồn nôn,đau đầu,nhạy cảm ánh sáng,,,,
Viêm màng phổi,đau ngực,khó thở,thở khò khè,ho,,,,
Viêm dây thanh mạn,đau tai,nghẹt mũi,đau họng,khàn tiếng,kéo dài,,,
Gout,đỏ khớp,đau khớp,nóng khớp,,,,,
Viêm tử cung mạn,kéo dài,đau khi quan hệ,đau bụng dưới,,,,,
Ung thư amidan,đau họng,nghẹt mũi,mệt mỏi,đau tai,khàn tiếng,sụt cân,,
Suy giáp,tiểu ít,da khô,táo bón,sợ lạnh,mệt mỏi,tăng cân,,
Viêm màng não,cứng cổ,sốt cao,nhạy cảm ánh sáng,đau đầu dữ dội,,,,
Ung thư lách,chán ăn,buồn nôn,đau hạ sườn phải,sụt cân,mệt mỏi,,,
Suy thận,tiểu ít,mệt mỏi,phù chân,buồn nôn,,,,
Viêm trực tràng mạn,tiêu chảy,ngứa,đau bụng,táo bón,mệt mỏi,đầy hơi,đi ngoài ra máu,
Viêm tử cung mạn,mệt mỏi,ra khí hư,sốt,đau khi quan hệ,kéo dài,,,
Trĩ,sa búi trĩ,đi ngoài ra máu,đau hậu môn,,,,,
Thoái hóa cột sống cổ,sưng khớp,đau khớp,cứng khớp,hạn chế vận động,đau xương,,,
Nhồi máu cơ tim,đau ngực,khó thở,đau lan cánh tay,đổ mồ hôi lạnh,hồi hộp,,,
Viêm niệu đạo,sốt,tiểu buốt,tiểu rắt,tiểu nhiều lần,,,,
Nhiễm trùng tinh hoàn,ra khí hư,đau bụng dưới,ớn lạnh,sốt,đau khi quan hệ,,,
Áp xe đường mật,vàng da,buồn nôn,mệt mỏi,đau,chán ăn,sốt,đau hạ sườn phải,
Viêm cơ tim cấp,mệt mỏi,sốt,khó thở,hồi hộp,đau dữ dội,phù chân,,
Viêm cơ tim,mệt mỏi,phù chân,khó thở,hồi hộp,đau ngực,,,
Polyp tá tràng,chán ăn,buồn nôn,đầy hơi,đau thượng vị,,,,
Viêm xoang cấp,khàn tiếng,đau dữ dội,nghẹt mũi,đau đầu dữ dội,,,,
Viêm bao hoạt dịch mạn,mệt mỏi,sưng khớp,đau xương,đau khớp,,,,
Viêm tuyến lệ,mắt đỏ,sốt,đau mắt,,,,,
Viêm da cấp,mụn nước,ngứa,sốt,da đỏ,đau dữ dội,,,
Viêm manh tràng mạn,táo bón,đầy hơi,mệt mỏi,đau bụng,,,,
Nhiễm trùng trực tràng,đầy hơi,đi ngoài ra máu,táo bón,sốt,tiêu chảy,đau bụng,,
Ung thư tinh hoàn,chán ăn,rối loạn kinh nguyệt,đau khi quan hệ,đau bụng dưới,mệt mỏi,sụt cân,,
Viêm nội tâm mạc cấp,hồi hộp,mệt mỏi,phù chân,đau ngực,sốt,,,
Ung thư túi mật,đau hạ sườn phải,sụt cân,,,,,,
Viêm khớp vai cấp,đau xương,sốt,cứng khớp,hạn chế vận động,đau khớp,,,
Sỏi niệu đạo,tiểu buốt,tiểu ra máu,tiểu nhiều lần,,,,,
Viêm hồi tràng cấp,tiêu chảy,táo bón,đi ngoài ra máu,đau dữ dội,đầy hơi,,,
Viêm màng ngoài tim,khó thở,đau ngực,,,,,,
Viêm phổi cấp,đau ngực,ho có đờm,thở khò khè,,,,,
Áp xe tụy,đau hạ sườn phải,đau,chán ăn,mệt mỏi,sốt,sưng,buồn nôn,
Viêm thực quản cấp,đau thượng vị,chán ăn,đau dữ dội,,,,,
Tiểu đường,sụt cân,mờ mắt,tiểu nhiều,khát nước nhiều,,,,
Viêm xoang cấp,khàn tiếng,đau họng,nghẹt mũi,,,,,
Viêm màng phổi mạn,kéo dài,ho có đờm,ho,khó thở,mệt mỏi,sốt,,
Viêm khớp háng,đau xương,hạn chế vận động,đau khớp,khát nước nhiều,cứng khớp,sưng khớp,,
Viêm đường mật cấp,đau hạ sườn phải,buồn nôn,vàng da,sốt,chán ăn,,,
Ung thư trực tràng,đau bụng,táo bón,tiêu chảy,chán ăn,sụt cân,đầy hơi,,
Polyp hậu môn,đầy hơi,táo bón,đi ngoài ra máu,,,,,
Nhiễm trùng hồi tràng,đau bụng,tiêu chảy,đi ngoài ra máu,đầy hơi,táo bón,,,
U lành tính amidan,nghẹt mũi,đau họng,khàn tiếng,,,,,
U lành tính âm đạo,đau khi quan hệ,ra khí hư,,,,,,
Ung thư hồi tràng,táo bón,đau bụng,đi ngoài ra máu,sụt cân,,,,
Thoái hóa gân gót,cứng khớp,sưng khớp,hạn chế vận động,đau khớp,,,,
Viêm võng mạc mạn,mờ mắt,cộm mắt,sốt,đau mắt,mắt đỏ,chảy nước mắt,kéo dài,
Viêm đại tràng mạn,mệt mỏi,tiêu chảy,đầy hơi,sốt,,,,
Viêm đại tràng cấp,tiêu chảy,đi ngoài ra máu,,,,,,
Ung thư ruột non,táo bón,sụt cân,đầy hơi,mệt mỏi,đau bụng,,,
Viêm võng mạc,cộm mắt,mắt đỏ,sốt,mờ mắt,,,,
Viêm phế quản,đau ngực,mệt mỏi,khó thở,ho có đờm,,,,
Ung thư thanh quản,ho có đờm,sụt cân,thở khò khè,đau ngực,,,,
Xơ gan,bầm tím,phù chân,vàng da,mệt mỏi,,,,
U lành tính gan,vàng da,chán ăn,mệt mỏi,buồn nôn,,,,
Viêm tuyến lệ,chảy nước mắt,đau mắt,cộm mắt,,,,,
Viêm mống mắt,đau mắt,sốt,,,,,,
Nhiễm trùng tuyến bã,mụn nước,phát ban,ngứa,bong tróc da,,,,
Viêm tuyến bã,ngứa,phát ban,da đỏ,,,,,
Ung thư niệu quản,tiểu nhiều lần,tiểu rắt,tiểu buốt,sụt cân,mệt mỏi,đau lưng,,
Nhiễm trùng bể thận,đau lưng,sốt,ớn lạnh,tiểu ra máu,tiểu rắt,tiểu nhiều lần,,
Viêm tụy mạn,đau hạ sườn phải,buồn nôn,vàng da,,,,,
Viêm lách mạn,kéo dài,chán ăn,vàng da,mệt mỏi,đau hạ sườn phải,,,
Polyp ruột thừa,đầy hơi,đau bụng,tiêu chảy,,,,,
Nhiễm trùng mào tinh hoàn,sốt,đau bụng dưới,ra khí hư,,,,,
Ung thư khí quản,mệt mỏi,đau ngực,sụt cân,chán ăn,ho,ho có đờm,,
Viêm cơ tim cấp,phù chân,sốt,khó thở,đau ngực,mệt mỏi,,,
Viêm tụy mạn,chán ăn,vàng da,kéo dài,buồn nôn,mệt mỏi,,,
Đau nửa đầu,nôn,đau đầu,nhạy cảm ánh sáng,chóng mặt,,,,
Viêm kết mạc,chảy nước mắt,ngứa mắt,cộm mắt,,,,,
Viêm âm đạo cấp,đau dữ dội,ra khí hư,rối loạn kinh nguyệt,sốt,,,,
Viêm màng não cấp,yếu liệt tay chân,chóng mặt,tê tay chân,,,,,
Viêm gan cấp,đau bụng,chán ăn,mệt mỏi,vàng da,,,,
Ung thư tiểu phế quản,đau ngực,khó thở,thở khò khè,sụt cân,ho,chán ăn,,
Viêm phế quản mạn,đau ngực,thở khò khè,khó thở,kéo dài,ho có đờm,,,
Viêm gân gót mạn,hạn chế vận động,đau khớp,cứng khớp,sốt,sưng khớp,,,
Lao cột sống,đau khớp,đau xương,hạn chế vận động,sưng khớp,cứng khớp,đổ mồ hôi đêm,sụt cân,
Viêm bờ mi,cộm mắt,chảy nước mắt,,,,,,
Nhiễm trùng âm đạo,rối loạn kinh nguyệt,đau khi quan hệ,ra khí hư,,,,,
Sỏi niệu đạo,tiểu ra máu,tiểu nhiều lần,đau lưng,tiểu rắt,tiểu buốt,,,
Viêm màng não mạn,co giật,kéo dài,đau đầu,,,,,
Ung thư tai ngoài,mệt mỏi,đau tai,đau họng,nghẹt mũi,sụt cân,,,
Suy tim,hồi hộp,mệt mỏi,đau ngực,khó thở,phù chân,,,
Ung thư tai giữa,khàn tiếng,sụt cân,nghẹt mũi,mệt mỏi,đau tai,ho,chán ăn,
Nhiễm trùng hồi tràng,táo bón,ớn lạnh,,,,,,
Viêm tuyến lệ mạn,mờ mắt,sốt,mắt đỏ,mệt mỏi,chảy nước mắt,cộm mắt,,
Viêm tuyến tiền liệt cấp,đau bụng dưới,ra khí hư,đau dữ dội,đau khi quan hệ,,,,
Cường giáp,hồi hộp,run tay,lồi mắt,sụt cân,,,,
Mề đay,sưng môi,phát ban,nổi mẩn,ngứa,,,,
Áp xe màng phổi,khó thở,sưng,thở khò khè,sốt,ho,đau,ho có đờm,
Viêm âm đạo cấp,đau khi quan hệ,sốt,ra khí hư,rối loạn kinh nguyệt,đau dữ dội,,,
Viêm ruột thừa mạn,táo bón,mệt mỏi,kéo dài,,,,,
Viêm cột sống cổ mạn,hạn chế vận động,cứng khớp,sốt,mệt mỏi,đau xương,,,
Viêm thận mạn,tiểu buốt,kéo dài,mệt mỏi,tiểu rắt,tiểu ra máu,,,
Viêm trung thất mạn,mụn nước,ho,kéo dài,đau ngực,khó thở,ho có đờm,,
Ung thư trung thất,mệt mỏi,chán ăn,sụt cân,đau ngực,khó thở,,,
Ung thư dạ dày,chán ăn,buồn nôn,sụt cân,tê tay chân,,,,
Polyp tá tràng,ợ chua,đầy hơi,đau thượng vị,buồn nôn,,,,
Ung thư hồi tràng,mệt mỏi,nghẹt mũi,đi ngoài ra máu,táo bón,sụt cân,đau bụng,đầy hơi,
Mề đay,sưng môi,nổi mẩn,ngứa,,,,,
Viêm nang lông mạn,bong tróc da,ngứa,phát ban,,,,,
U lành tính vòm họng,ho,đau họng,nghẹt mũi,đau khi nhai,,,,
Táo bón,phân cứng,đi ngoài khó,đầy hơi,chán ăn,,,,
Viêm cột sống cổ,hạn chế vận động,sưng khớp,đau khớp,sốt,,,,
Ung thư manh tràng,đi lại khó,đầy hơi,chán ăn,đi ngoài ra máu,sụt cân,tiêu chảy,,
Viêm gan cấp,chán ăn,mệt mỏi,vàng da,,,,,
Viêm phế quản cấp,khó thở,ho có đờm,đau ngực,ho,thở khò khè,,,
Viêm phổi,ớn lạnh,sốt cao,mệt mỏi,khó thở,,,,
Viêm tiểu phế quản,ho,ho có đờm,sốt,đau ngực,khó thở,,,
Viêm đường mật cấp,vàng da,sốt,đau hạ sườn phải,chán ăn,đau dữ dội,,,
Viêm mống mắt cấp,mờ mắt,đau mắt,cộm mắt,sốt,,,,
Nhiễm trùng tuyến tiền liệt,rối loạn kinh nguyệt,ra khí hư,,,,,,
Polyp tâm vị,buồn nôn,đau thượng vị,chán ăn,đầy hơi,đi ngoài ra máu,,,
Viêm tâm vị,ợ chua,đầy hơi,,,,,,
Viêm ruột non cấp,đau dữ dội,đi ngoài ra máu,đau bụng,đầy hơi,,,,
Phình nội tâm mạc,mệt mỏi,hồi hộp,,,,,,
Lao khớp gối,hạn chế vận động,đổ mồ hôi đêm,cứng khớp,sưng khớp,đau xương,sụt cân,,
Viêm nội tâm mạc mạn,hồi hộp,phù chân,mệt mỏi,khó thở,đau ngực,,,
Ung thư tử cung,mệt mỏi,sụt cân,đau bụng dưới,ra khí hư,,,,
Viêm tinh hoàn,rối loạn kinh nguyệt,đau khi quan hệ,ra khí hư,,,,,
Viêm vòm họng cấp,khàn tiếng,nghẹt mũi,đau dữ dội,đau họng,sốt,đau tai,,
Viêm nội tâm mạc mạn,phù chân,sốt,khó thở,đau ngực,,,,
Viêm đại tràng,đi ngoài ra máu,tiêu chảy,sốt,táo bón,đầy hơi,,,
Viêm tá tràng cấp,nổi mẩn,ợ chua,buồn nôn,đầy hơi,chán ăn,,,
Viêm hậu môn mạn,đau bụng,sốt,đi ngoài ra máu,,,,,
Ung thư amidan,sụt cân,khàn tiếng,ho,đau tai,nghẹt mũi,,,
Viêm tai giữa,sốt,giảm thính lực,đau tai,,,,,
Polyp trực tràng,đi ngoài ra máu,tiêu chảy,táo bón,đầy hơi,,,,
Ung thư tụy,mệt mỏi,sụt cân,chán ăn,buồn nôn,,,,
Viêm tinh hoàn mạn,đau bụng dưới,sốt,ra khí hư,rối loạn kinh nguyệt,mệt mỏi,đau khi quan hệ,,
Viêm tâm vị cấp,sốt,chán ăn,đầy hơi,buồn nôn,đau thượng vị,,,
Viêm lách,đau hạ sườn phải,chán ăn,buồn nôn,vàng da,,,,
Viêm cổ tử cung,ra khí hư,rối loạn kinh nguyệt,đau khi quan hệ,đau bụng dưới,,,,
Áp xe lách,vàng da,mệt mỏi,buồn nôn,sốt,đau hạ sườn phải,,,
Ung thư móng,sụt cân,phát ban,da đỏ,bong tróc da,chán ăn,ngứa,,
Polyp tá tràng,đau thượng vị,chán ăn,buồn nôn,cứng cổ,đầy hơi,đi ngoài ra máu,,
Viêm trung thất cấp,thở khò khè,ho,đau ngực,,,,,
Viêm khớp gối,hạn chế vận động,đau xương,cứng khớp,đau khớp,,,,
Viêm tuyến bã cấp,ngứa,sưng môi,phát ban,da đỏ,sốt,,,
Thoái hóa gân gót,đau khớp,hạn chế vận động,sưng khớp,cứng khớp,,,,
Viêm dây thanh cấp,sốt,đau dữ dội,đau họng,ho,đau tai,khàn tiếng,,
Hẹp động mạch chủ,mệt mỏi,phù chân,đau ngực,,,,,
U lành tính buồng trứng,ra khí hư,,,,,,,
Viêm tai ngoài,nghẹt mũi,đau tai,đau họng,sốt,ho,,,
Ung thư ruột thừa,đi ngoài ra máu,đau bụng,táo bón,tiêu chảy,sụt cân,,,
Ung thư hậu môn,đầy hơi,đi ngoài ra máu,đau bụng,sụt cân,chán ăn,,,
Viêm hồi tràng,sốt,đi ngoài ra máu,tiêu chảy,đau bụng,đầy hơi,,,
Polyp đại tràng,đi ngoài ra máu,đau bụng,táo bón,,,,,
Ung thư da,phát ban,mụn nước,chán ăn,sụt cân,,,,
Viêm ruột non,khàn tiếng,đau bụng,đầy hơi,táo bón,đi ngoài ra máu,tiêu chảy,,
Viêm khớp dạng thấp,sốt nhẹ,sưng khớp,cứng khớp,đau khớp,,,,
Lao sụn khớp,cứng khớp,sưng khớp,đau khớp,hạn chế vận động,sụt cân,đau xương,,
Viêm xoang mạn,hắt hơi,nghẹt mũi,ho,khàn tiếng,,,,
Viêm túi mật cấp,vàng da,mệt mỏi,buồn nôn,chán ăn,,,,
Ung thư tá tràng,ợ chua,đầy hơi,chán ăn,sụt cân,,,,
Viêm đại tràng mạn,tiêu chảy,táo bón,sốt,đi ngoài ra máu,đầy hơi,đau bụng,kéo dài,
Lao gân gót,sụt cân,sưng khớp,cứng khớp,đau khớp,hạn chế vận động,,,
Viêm cơ tim cấp,khó thở,phù chân,hồi hộp,,,,,
Nhiễm trùng bàng quang,tiểu buốt,tiểu ra máu,tiểu rắt,đau lưng,,,,
Áp xe trung thất,đau ngực,thở khò khè,ho,ho có đờm,sốt,sưng,khó thở,
Viêm túi mật mạn,mệt mỏi,vàng da,chán ăn,sốt,đau hạ sườn phải,,,
Viêm mống mắt,đau mắt,sốt,mệt mỏi,cộm mắt,mắt đỏ,,,
Phình van tim,khó thở,mệt mỏi,hồi hộp,,,,,
Ung thư amidan,nghẹt mũi,khàn tiếng,chán ăn,sụt cân,,,,
Nhiễm trùng da,phát ban,da đỏ,sưng tuyến mang tai,ngứa,,,,
Viêm tụy,mệt mỏi,sốt,đau hạ sườn phải,,,,,
Viêm tinh hoàn mạn,ra khí hư,đau khi quan hệ,đau bụng dưới,sốt,kéo dài,,,
Loét tâm vị,đầy hơi,đau thượng vị,nôn ra máu,,,,,
Ung thư màng phổi,khó thở,ho có đờm,đau ngực,sụt cân,chán ăn,,,
U lành tính màng não,đau đầu,chóng mặt,co giật,yếu liệt tay chân,,,,
Viêm hồi tràng cấp,đi ngoài ra máu,đau bụng,sốt,đau dữ dội,tiêu chảy,táo bón,,
U lành tính móng,mụn nước,phát ban,da đỏ,ngứa,,,,
Polyp thực quản,đầy hơi,buồn nôn,chán ăn,,,,,
Tiểu đường,đói nhiều,tiểu nhiều,mờ mắt,chóng mặt,mệt mỏi,,,
Dị ứng,hắt hơi,ngứa,tiểu nhiều lần,phát ban,,,,
Nhiễm trùng da,phát ban,mụn nước,bong tróc da,ngứa,,,,
Hẹp van tim,đau ngực,phù chân,mệt mỏi,,,,,
Viêm van tim cấp,đau dữ dội,phù chân,mệt mỏi,khó thở,,,,
Viêm túi mật cấp,đau dữ dội,buồn nôn,mệt mỏi,sốt,vàng da,đau hạ sườn phải,,
Viêm kết mạc mạn,mờ mắt,đau mắt,mắt đỏ,sốt,chảy nước mắt,,,
Ung thư vòi trứng,đau khi quan hệ,chán ăn,ra khí hư,sụt cân,,,,
Viêm hậu môn cấp,tiêu chảy,đầy hơi,đi ngoài ra máu,đau bụng,đau dữ dội,,,
Viêm ruột non,tiêu chảy,sốt,đi ngoài ra máu,,,,,
Viêm vòm họng mạn,đau tai,khàn tiếng,sốt,mệt mỏi,kéo dài,đau họng,,
Viêm khớp gối cấp,cứng khớp,hạn chế vận động,đau khớp,đau xương,,,,
Viêm cổ tử cung,rối loạn kinh nguyệt,đau khi quan hệ,đau bụng dưới,sốt,,,,
Sỏi bàng quang,đau lưng,tiểu ra máu,tiểu nhiều lần,,,,,
Viêm tâm vị cấp,đầy hơi,ợ chua,chán ăn,,,,,
Viêm mống mắt cấp,cộm mắt,chảy nước mắt,đau dữ dội,đau mắt,mắt đỏ,,,
Ung thư tinh hoàn,rối loạn kinh nguyệt,chán ăn,sụt cân,đau bụng dưới,,,,
Viêm đường mật cấp,đau hạ sườn phải,thở khò khè,vàng da,chán ăn,mệt mỏi,,,
Lao phổi,ho kéo dài,đổ mồ hôi đêm,mệt mỏi,sụt cân,ho ra máu,buồn bã kéo dài,,
U lành tính amidan,khàn tiếng,nghẹt mũi,ho,,,,,
Viêm gan mạn,đau hạ sườn phải,buồn nôn,vàng da,,,,,
Dị ứng,phát ban,chảy nước mắt,ngứa,hắt hơi,,,,
Nhiễm trùng manh tràng,đi ngoài ra máu,đau bụng,,,,,,
Ung thư buồng trứng,rối loạn kinh nguyệt,mệt mỏi,ra khí hư,đau bụng dưới,chảy nước mắt,chán ăn,,
Phình van tim,phù chân,hồi hộp,khó thở,mệt mỏi,,,,
Lao bao hoạt dịch,sốt nhẹ,đau khớp,sụt cân,sưng khớp,đổ mồ hôi đêm,đau xương,hạn chế vận động,
Ung thư thanh quản,thở khò khè,ho,đau ngực,sụt cân,,,,
Polyp hồi tràng,đau bụng,táo bón,đầy hơi,,,,,
Viêm tai ngoài,sốt,nghẹt mũi,ho,đau tai,,,,
Ung thư thực quản,chán ăn,sụt cân,đau thượng vị,giảm khứu giác,ợ chua,đầy hơi,mệt mỏi,buồn nôn
Ung thư mào tinh hoàn,ra khí hư,rối loạn kinh nguyệt,đau khi quan hệ,đau bụng dưới,mệt mỏi,sụt cân,,
U lành tính màng não,đau đầu,chóng mặt,co giật,,,,,
Viêm phổi mạn,thở khò khè,ho có đờm,kéo dài,,,,,
U lành tính âm đạo,rối loạn kinh nguyệt,đau khi quan hệ,,,,,,
Ung thư dây thần kinh,chóng mặt,đau đầu,mệt mỏi,sụt cân,tê tay chân,,,
Viêm túi mật cấp,buồn nôn,sốt,vàng da,,,,,
Viêm trực tràng,sốt,đầy hơi,tiêu chảy,ợ nóng,đau bụng,táo bón,đi ngoài ra máu,
Ung thư trực tràng,đầy hơi,đau bụng,táo bón,,,,,
Viêm trung thất mạn,mệt mỏi,ho có đờm,thở khò khè,ho,,,,
Viêm dạ dày cấp,chán ăn,buồn nôn,ợ chua,sốt,đầy hơi,,,
Viêm amidan cấp,khàn tiếng,đau họng,nghẹt mũi,,,,,
Viêm van tim,phù chân,hồi hộp,mệt mỏi,,,,,
Viêm niệu đạo,tiểu buốt,sốt,đau lưng,tiểu nhiều lần,tiểu ra máu,,,
Viêm giác mạc cấp,mắt đỏ,mờ mắt,đau dữ dội,chảy nước mắt,đau mắt,cộm mắt,,
Sốt xuất huyết,đau sau hốc mắt,sốt cao,buồn nôn,phát ban,,,,
Viêm đại tràng cấp,sốt,đi ngoài ra máu,ra khí hư,đau bụng,đau dữ dội,táo bón,đầy hơi,
Viêm nang lông mạn,mụn nước,kéo dài,ngứa,da đỏ,phát ban,mệt mỏi,,
Thoái hóa bao hoạt dịch,đau xương,đau khớp,hạn chế vận động,cứng khớp,sưng khớp,,,
Trầm cảm,chán ăn,khó tập trung,mất ngủ,buồn bã kéo dài,,,,
Viêm móng,ngứa,mụn nước,bong tróc da,sốt,,,,
Ung thư buồng trứng,sụt cân,đau bụng dưới,mệt mỏi,rối loạn kinh nguyệt,ra khí hư,,,
U lành tính buồng trứng,đau bụng dưới,ra khí hư,rối loạn kinh nguyệt,,,,,
Viêm hậu môn mạn,táo bón,đầy hơi,đau bụng,sốt,,,,
U lành tính võng mạc,đau mắt,mắt đỏ,cộm mắt,,,,,
Ung thư phế quản,chán ăn,ho có đờm,sụt cân,đau ngực,,,,
Viêm dây thần kinh,co giật,sốt,đau đầu,,,,,
Nhiễm trùng niệu đạo,ớn lạnh,đổ mồ hôi lạnh,tiểu rắt,tiểu buốt,,,,
Viêm đường mật,đau hạ sườn phải,vàng da,chán ăn,buồn nôn,mệt mỏi,,,
U lành tính kết mạc,mờ mắt,đau mắt,cộm mắt,chảy nước mắt,,,,
Nhiễm trùng bể thận,tiểu nhiều lần,tiểu rắt,tiểu buốt,tiểu ra máu,,,,
Nhiễm trùng vòi trứng,đau khi quan hệ,đau bụng dưới,ớn lạnh,sốt,,,,
Viêm màng phổi,khó thở,sốt,ho,thở khò khè,,,,
Viêm tai ngoài,đau tai,ho,nghẹt mũi,sốt,,,,
Viêm âm đạo,rối loạn kinh nguyệt,ra khí hư,đau khi quan hệ,,,,,
Ung thư thận,đau lưng,tiểu ra máu,đau hố chậu phải,tiểu buốt,,,,
U lành tính bờ mi,mờ mắt,mắt đỏ,chảy nước mắt,đau mắt,cộm mắt,,,
Ung thư buồng trứng,rối loạn kinh nguyệt,đau khi quan hệ,sụt cân,đau bụng dưới,,,,
Sỏi mật,đau hạ sườn phải,vàng da,buồn nôn,,,,,
U lành tính giác mạc,bong tróc da,mờ mắt,đau mắt,chảy nước mắt,,,,
Viêm buồng trứng mạn,mệt mỏi,sốt,đau khi quan hệ,lo lắng quá mức,rối loạn kinh nguyệt,đau bụng dưới,,
Viêm buồng trứng,ra khí hư,đau bụng dưới,rối loạn kinh nguyệt,,,,,
Nhiễm trùng âm đạo,ớn lạnh,ra khí hư,sốt,rối loạn kinh nguyệt,,,,
